2411,Accountants,241,Finance professionals,24,Business and administration professionals,2,Machines
2411,Accountants,241,Finance professionals,24,Business and administration professionals,2,Professionals
3313,Accounting associate professionals,331,Financial and mathematical associate professionals,33,Business and administration associate professionals,3,Equipment
3313,Accounting associate professionals,331,Financial and mathematical associate professionals,33,Business and administration associate professionals,3,Technicians and associate professionals
3313,Accounting associate professionals,331,Financial and mathematical associate professionals,33,Repair and installation of machinery and equipment,C,Manufacturing
3313,Accounting associate professionals,331,Financial and mathematical associate professionals,33,Equipment for work with electricity,3,Equipment
3313,Accounting associate professionals,331,Financial and mathematical associate professionals,33,Equipment for work with electricity,3,Technicians and associate professionals
3313,Accounting associate professionals,331,Repair and installation of machinery and equipment,33,Business and administration associate professionals,3,Equipment
3313,Accounting associate professionals,331,Repair and installation of machinery and equipment,33,Business and administration associate professionals,3,Technicians and associate professionals
3313,Accounting associate professionals,331,Repair and installation of machinery and equipment,33,Repair and installation of machinery and equipment,C,Manufacturing
3313,Accounting associate professionals,331,Repair and installation of machinery and equipment,33,Equipment for work with electricity,3,Equipment
3313,Accounting associate professionals,331,Repair and installation of machinery and equipment,33,Equipment for work with electricity,3,Technicians and associate professionals
1311,Agricultural and forestry production managers,131,"Spinning, weaving and finishing of textiles",13,Manufacture of textiles,C,Manufacturing
1311,Agricultural and forestry production managers,131,"Spinning, weaving and finishing of textiles",13,Production and specialised services managers,1,Managers
1311,Agricultural and forestry production managers,131,"Spinning, weaving and finishing of textiles",13,Production and specialised services managers,1,Tools
1311,Agricultural and forestry production managers,131,"Production managers in agriculture, forestry and fisheries",13,Manufacture of textiles,C,Manufacturing
1311,Agricultural and forestry production managers,131,"Production managers in agriculture, forestry and fisheries",13,Production and specialised services managers,1,Managers
1311,Agricultural and forestry production managers,131,"Production managers in agriculture, forestry and fisheries",13,Production and specialised services managers,1,Tools
7233,Agricultural and industrial machinery mechanics and repairers,723,Machinery mechanics and repairers,72,"Metal, machinery and related trades workers",7,Craft and related trades workers
7233,Agricultural and industrial machinery mechanics and repairers,723,Machinery mechanics and repairers,72,Scientific research and development,M,"Professional, scientific and technical activities"
3154,Air traffic controllers,315,Ship and aircraft controllers and technicians,31,Manufacture of furniture,C,Manufacturing
3154,Air traffic controllers,315,Ship and aircraft controllers and technicians,31,Equipment for working at heights,3,Equipment
3154,Air traffic controllers,315,Ship and aircraft controllers and technicians,31,Equipment for working at heights,3,Technicians and associate professionals
3154,Air traffic controllers,315,Ship and aircraft controllers and technicians,31,Science and engineering associate professionals,3,Equipment
3154,Air traffic controllers,315,Ship and aircraft controllers and technicians,31,Science and engineering associate professionals,3,Technicians and associate professionals
3258,Ambulance workers,325,Other health associate professionals,32,Other manufacturing,C,Manufacturing
3258,Ambulance workers,325,Other health associate professionals,32,Health associate professionals,3,Equipment
3258,Ambulance workers,325,Other health associate professionals,32,Health associate professionals,3,Technicians and associate professionals
3258,Ambulance workers,325,Other health associate professionals,32,Lifting and handling equipment,3,Equipment
3258,Ambulance workers,325,Other health associate professionals,32,Lifting and handling equipment,3,Technicians and associate professionals
3258,Ambulance workers,325,Manufacture of medical and dental instruments and supplies,32,Other manufacturing,C,Manufacturing
3258,Ambulance workers,325,Manufacture of medical and dental instruments and supplies,32,Health associate professionals,3,Equipment
3258,Ambulance workers,325,Manufacture of medical and dental instruments and supplies,32,Health associate professionals,3,Technicians and associate professionals
3258,Ambulance workers,325,Manufacture of medical and dental instruments and supplies,32,Lifting and handling equipment,3,Equipment
3258,Ambulance workers,325,Manufacture of medical and dental instruments and supplies,32,Lifting and handling equipment,3,Technicians and associate professionals
6129,Animal producers not elsewhere classified,612,Wireless telecommunications activities,61,Market-oriented skilled agricultural workers,6,"Skilled agricultural, forestry and fishery workers"
6129,Animal producers not elsewhere classified,612,Wireless telecommunications activities,61,Telecommunications,J,Information and communication
6129,Animal producers not elsewhere classified,612,Animal producers,61,Market-oriented skilled agricultural workers,6,"Skilled agricultural, forestry and fishery workers"
6129,Animal producers not elsewhere classified,612,Animal producers,61,Telecommunications,J,Information and communication
2656,"Announcers on radio, television and other media",265,Creative and performing artists,26,"Legal, social and cultural professionals",2,Machines
2656,"Announcers on radio, television and other media",265,Creative and performing artists,26,"Legal, social and cultural professionals",2,Professionals
2656,"Announcers on radio, television and other media",265,Creative and performing artists,26,"Manufacture of computer, electronic and optical products",C,Manufacturing
2656,"Announcers on radio, television and other media",265,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",26,"Legal, social and cultural professionals",2,Machines
2656,"Announcers on radio, television and other media",265,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",26,"Legal, social and cultural professionals",2,Professionals
2656,"Announcers on radio, television and other media",265,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",26,"Manufacture of computer, electronic and optical products",C,Manufacturing
1312,Aquaculture and fisheries production managers,131,"Spinning, weaving and finishing of textiles",13,Manufacture of textiles,C,Manufacturing
1312,Aquaculture and fisheries production managers,131,"Spinning, weaving and finishing of textiles",13,Production and specialised services managers,1,Managers
1312,Aquaculture and fisheries production managers,131,"Spinning, weaving and finishing of textiles",13,Production and specialised services managers,1,Tools
1312,Aquaculture and fisheries production managers,131,"Production managers in agriculture, forestry and fisheries",13,Manufacture of textiles,C,Manufacturing
1312,Aquaculture and fisheries production managers,131,"Production managers in agriculture, forestry and fisheries",13,Production and specialised services managers,1,Managers
1312,Aquaculture and fisheries production managers,131,"Production managers in agriculture, forestry and fisheries",13,Production and specialised services managers,1,Tools
2621,Archivists and curators,262,"Librarians, archivists and curators",26,"Legal, social and cultural professionals",2,Machines
2621,Archivists and curators,262,"Librarians, archivists and curators",26,"Legal, social and cultural professionals",2,Professionals
2621,Archivists and curators,262,"Librarians, archivists and curators",26,"Manufacture of computer, electronic and optical products",C,Manufacturing
2621,Archivists and curators,262,Manufacture of computers and peripheral equipment,26,"Legal, social and cultural professionals",2,Machines
2621,Archivists and curators,262,Manufacture of computers and peripheral equipment,26,"Legal, social and cultural professionals",2,Professionals
2621,Archivists and curators,262,Manufacture of computers and peripheral equipment,26,"Manufacture of computer, electronic and optical products",C,Manufacturing
8219,Assemblers not elsewhere classified,821,Office administrative and support activities,82,"Office administrative, office support and other business support activities",N,Administrative and support service activities
8219,Assemblers not elsewhere classified,821,Office administrative and support activities,82,Assemblers,8,"Plant and machine operators, and assemblers"
8219,Assemblers not elsewhere classified,821,Assemblers,82,"Office administrative, office support and other business support activities",N,Administrative and support service activities
8219,Assemblers not elsewhere classified,821,Assemblers,82,Assemblers,8,"Plant and machine operators, and assemblers"
2266,Audiologists and speech therapists,226,Other health professionals,22,Manufacture of rubber and plastics products,C,Manufacturing
2266,Audiologists and speech therapists,226,Other health professionals,22,Health professionals,2,Machines
2266,Audiologists and speech therapists,226,Other health professionals,22,Health professionals,2,Professionals
2266,Audiologists and speech therapists,226,Other health professionals,22,"Machinery used for processing material, such as …",2,Machines
2266,Audiologists and speech therapists,226,Other health professionals,22,"Machinery used for processing material, such as …",2,Professionals
2266,Audiologists and speech therapists,226,"Crushing, splitting of stone",22,Manufacture of rubber and plastics products,C,Manufacturing
2266,Audiologists and speech therapists,226,"Crushing, splitting of stone",22,Health professionals,2,Machines
2266,Audiologists and speech therapists,226,"Crushing, splitting of stone",22,Health professionals,2,Professionals
2266,Audiologists and speech therapists,226,"Crushing, splitting of stone",22,"Machinery used for processing material, such as …",2,Machines
2266,Audiologists and speech therapists,226,"Crushing, splitting of stone",22,"Machinery used for processing material, such as …",2,Professionals
2641,Authors and related writers,264,Manufacture of consumer electronics,26,"Legal, social and cultural professionals",2,Machines
2641,Authors and related writers,264,Manufacture of consumer electronics,26,"Legal, social and cultural professionals",2,Professionals
2641,Authors and related writers,264,Manufacture of consumer electronics,26,"Manufacture of computer, electronic and optical products",C,Manufacturing
2641,Authors and related writers,264,"Authors, journalists and linguists",26,"Legal, social and cultural professionals",2,Machines
2641,Authors and related writers,264,"Authors, journalists and linguists",26,"Legal, social and cultural professionals",2,Professionals
2641,Authors and related writers,264,"Authors, journalists and linguists",26,"Manufacture of computer, electronic and optical products",C,Manufacturing
7221,"Blacksmiths, hammer smiths and forging press workers",722,"Blacksmiths, toolmakers and related trades workers",72,"Metal, machinery and related trades workers",7,Craft and related trades workers
7221,"Blacksmiths, hammer smiths and forging press workers",722,"Blacksmiths, toolmakers and related trades workers",72,Scientific research and development,M,"Professional, scientific and technical activities"
7221,"Blacksmiths, hammer smiths and forging press workers",722,Research and experimental development on social sciences and humanities,72,"Metal, machinery and related trades workers",7,Craft and related trades workers
7221,"Blacksmiths, hammer smiths and forging press workers",722,Research and experimental development on social sciences and humanities,72,Scientific research and development,M,"Professional, scientific and technical activities"
4212,"Bookmakers, croupiers and related gaming workers",421,"Tellers, money collectors and related clerks",42,Customer services clerks,4,Clerical support workers
4212,"Bookmakers, croupiers and related gaming workers",421,"Tellers, money collectors and related clerks",42,Civil engineering,F,Construction
4212,"Bookmakers, croupiers and related gaming workers",421,Construction of roads and railways,42,Customer services clerks,4,Clerical support workers
4212,"Bookmakers, croupiers and related gaming workers",421,Construction of roads and railways,42,Civil engineering,F,Construction
0620,Extraction of natural gas,062,Extraction of natural gas,06,Extraction of crude petroleum and natural gas,B,Mining and quarrying
0710,Mining of iron ores,071,Mining of iron ores,07,Mining of metal ores,B,Mining and quarrying
0729,Mining of other non-ferrous metal ores,072,Mining of non-ferrous metal ores,07,Mining of metal ores,B,Mining and quarrying
7112,Bricklayers and related workers,711,Building frame and related trades workers,71,Architectural and engineering activities; technical testing and analysis,M,"Professional, scientific and technical activities"
7112,Bricklayers and related workers,711,Building frame and related trades workers,71,"Building and related trades workers, excluding electricians",7,Craft and related trades workers
7112,Bricklayers and related workers,711,Architectural and engineering activities and related technical consultancy,71,Architectural and engineering activities; technical testing and analysis,M,"Professional, scientific and technical activities"
7112,Bricklayers and related workers,711,Architectural and engineering activities and related technical consultancy,71,"Building and related trades workers, excluding electricians",7,Craft and related trades workers
3521,Broadcasting and audio-visual technicians,352,Telecommunications and broadcasting technicians,35,Information and communications technicians,3,Equipment
3521,Broadcasting and audio-visual technicians,352,Telecommunications and broadcasting technicians,35,Information and communications technicians,3,Technicians and associate professionals
3521,Broadcasting and audio-visual technicians,352,Telecommunications and broadcasting technicians,35,"Electricity, gas, steam and air conditioning supply",D,"Electricity, gas, steam and air conditioning supply"
3521,Broadcasting and audio-visual technicians,352,Manufacture of gas; distribution of gaseous fuels through mains,35,Information and communications technicians,3,Equipment
3521,Broadcasting and audio-visual technicians,352,Manufacture of gas; distribution of gaseous fuels through mains,35,Information and communications technicians,3,Technicians and associate professionals
3521,Broadcasting and audio-visual technicians,352,Manufacture of gas; distribution of gaseous fuels through mains,35,"Electricity, gas, steam and air conditioning supply",D,"Electricity, gas, steam and air conditioning supply"
7411,Building and related electricians,741,Electrical equipment installers and repairers,74,Electrical and electronic trades workers,7,Craft and related trades workers
7411,Building and related electricians,741,Electrical equipment installers and repairers,74,"Other professional, scientific and technical activities",M,"Professional, scientific and technical activities"
7411,Building and related electricians,741,Specialized design activities,74,Electrical and electronic trades workers,7,Craft and related trades workers
7411,Building and related electricians,741,Specialized design activities,74,"Other professional, scientific and technical activities",M,"Professional, scientific and technical activities"
5153,Building caretakers,515,Building and housekeeping supervisors,51,Air transport,"H ",Transportation and storage
5153,Building caretakers,515,Building and housekeeping supervisors,51,Personal Services,5,Service and sales workers
9313,Building construction labourers,931,Sports activities,93,Sports activities and amusement  and recreation activities,R,"Arts, entertainment and recreation"
9313,Building construction labourers,931,Sports activities,93,"Labourers in mining, construction, manufacturing and transport",9,Elementary occupations
9313,Building construction labourers,931,Mining and construction labourers,93,Sports activities and amusement  and recreation activities,R,"Arts, entertainment and recreation"
9313,Building construction labourers,931,Mining and construction labourers,93,"Labourers in mining, construction, manufacturing and transport",9,Elementary occupations
8331,Bus and tram drivers,833,Heavy truck and bus drivers,83,Drivers and mobile plant operators,8,"Plant and machine operators, and assemblers"
7511,"Butchers, fishmongers and related food preparers",751,Food processing and related trades workers,75,"Food processing, wood working, garment and other craft and related trades workers",7,Craft and related trades workers
7511,"Butchers, fishmongers and related food preparers",751,Food processing and related trades workers,75,Veterinary activities,M,"Professional, scientific and technical activities"
3323,Buyers,332,Sales and purchasing agents and brokers,33,Business and administration associate professionals,3,Equipment
3323,Buyers,332,Sales and purchasing agents and brokers,33,Business and administration associate professionals,3,Technicians and associate professionals
3323,Buyers,332,Sales and purchasing agents and brokers,33,Repair and installation of machinery and equipment,C,Manufacturing
3323,Buyers,332,Sales and purchasing agents and brokers,33,Equipment for work with electricity,3,Equipment
3323,Buyers,332,Sales and purchasing agents and brokers,33,Equipment for work with electricity,3,Technicians and associate professionals
3323,Buyers,332,Installation of industrial machinery and equipment,33,Business and administration associate professionals,3,Equipment
3323,Buyers,332,Installation of industrial machinery and equipment,33,Business and administration associate professionals,3,Technicians and associate professionals
3323,Buyers,332,Installation of industrial machinery and equipment,33,Repair and installation of machinery and equipment,C,Manufacturing
3323,Buyers,332,Installation of industrial machinery and equipment,33,Equipment for work with electricity,3,Equipment
3323,Buyers,332,Installation of industrial machinery and equipment,33,Equipment for work with electricity,3,Technicians and associate professionals
7115,Carpenters and joiners,711,Building frame and related trades workers,71,Architectural and engineering activities; technical testing and analysis,M,"Professional, scientific and technical activities"
7115,Carpenters and joiners,711,Building frame and related trades workers,71,"Building and related trades workers, excluding electricians",7,Craft and related trades workers
7115,Carpenters and joiners,711,Architectural and engineering activities and related technical consultancy,71,Architectural and engineering activities; technical testing and analysis,M,"Professional, scientific and technical activities"
7115,Carpenters and joiners,711,Architectural and engineering activities and related technical consultancy,71,"Building and related trades workers, excluding electricians",7,Craft and related trades workers
5230,Cashiers and ticket clerks,523,Cashiers and ticket clerks,52,Warehousing  and support activities for transportation,"H ",Transportation and storage
5230,Cashiers and ticket clerks,523,Cashiers and ticket clerks,52,Sales workers,5,Service and sales workers
3434,Chefs,343,"Artistic, cultural and culinary associate professionals",34,"Legal, social, cultural and related associate professionals",3,Equipment
3434,Chefs,343,"Artistic, cultural and culinary associate professionals",34,"Legal, social, cultural and related associate professionals",3,Technicians and associate professionals
3111,Chemical and physical science technicians,311,Physical and engineering science technicians,31,Manufacture of furniture,C,Manufacturing
3111,Chemical and physical science technicians,311,Physical and engineering science technicians,31,Equipment for working at heights,3,Equipment
3111,Chemical and physical science technicians,311,Physical and engineering science technicians,31,Equipment for working at heights,3,Technicians and associate professionals
3111,Chemical and physical science technicians,311,Physical and engineering science technicians,31,Science and engineering associate professionals,3,Equipment
3111,Chemical and physical science technicians,311,Physical and engineering science technicians,31,Science and engineering associate professionals,3,Technicians and associate professionals
3133,Chemical processing plant controllers,313,Process control technicians,31,Manufacture of furniture,C,Manufacturing
3133,Chemical processing plant controllers,313,Process control technicians,31,Equipment for working at heights,3,Equipment
3133,Chemical processing plant controllers,313,Process control technicians,31,Equipment for working at heights,3,Technicians and associate professionals
3133,Chemical processing plant controllers,313,Process control technicians,31,Science and engineering associate professionals,3,Equipment
3133,Chemical processing plant controllers,313,Process control technicians,31,Science and engineering associate professionals,3,Technicians and associate professionals
8131,Chemical products plant and machine operators,813,Landscapecare and maintenance service activities,81,Services to buildings and landscape activities,N,Administrative and support service activities
8131,Chemical products plant and machine operators,813,Landscapecare and maintenance service activities,81,Stationary plant and machine operators,8,"Plant and machine operators, and assemblers"
8131,Chemical products plant and machine operators,813,Chemical and photographic products plant and machine operators,81,Services to buildings and landscape activities,N,Administrative and support service activities
8131,Chemical products plant and machine operators,813,Chemical and photographic products plant and machine operators,81,Stationary plant and machine operators,8,"Plant and machine operators, and assemblers"
5311,Child care workers,531,Postal activities,53,Postal and courier activities,"H ",Transportation and storage
5311,Child care workers,531,Postal activities,53,Personal care workers,5,Service and sales workers
5311,Child care workers,531,Child care workers and teachers' aides,53,Postal and courier activities,"H ",Transportation and storage
5311,Child care workers,531,Child care workers and teachers' aides,53,Personal care workers,5,Service and sales workers
9112,"Cleaners and helpers in offices, hotels and other establishments",911,"Domestic, hotel and office cleaners and helpers",91,Cleaners and helpers,9,Elementary occupations
9112,"Cleaners and helpers in offices, hotels and other establishments",911,"Domestic, hotel and office cleaners and helpers",91,"Libraries, archives, museums and other cultural activities",R,"Arts, entertainment and recreation"
5151,"Cleaning and housekeeping supervisors in offices, hotels and other establishments",515,Building and housekeeping supervisors,51,Air transport,"H ",Transportation and storage
5151,"Cleaning and housekeeping supervisors in offices, hotels and other establishments",515,Building and housekeeping supervisors,51,Personal Services,5,Service and sales workers
5162,Companions and valets,516,Other personal services workers,51,Air transport,"H ",Transportation and storage
5162,Companions and valets,516,Other personal services workers,51,Personal Services,5,Service and sales workers
3332,Conference and event planners,333,Business services agents,33,Business and administration associate professionals,3,Equipment
3332,Conference and event planners,333,Business services agents,33,Business and administration associate professionals,3,Technicians and associate professionals
3332,Conference and event planners,333,Business services agents,33,Repair and installation of machinery and equipment,C,Manufacturing
3332,Conference and event planners,333,Business services agents,33,Equipment for work with electricity,3,Equipment
3332,Conference and event planners,333,Business services agents,33,Equipment for work with electricity,3,Technicians and associate professionals
5244,Contact centre salespersons,524,Other sales workers,52,Warehousing  and support activities for transportation,"H ",Transportation and storage
5244,Contact centre salespersons,524,Other sales workers,52,Sales workers,5,Service and sales workers
7549,Craft and related workers not elsewhere classified,754,Other craft and related workers,75,"Food processing, wood working, garment and other craft and related trades workers",7,Craft and related trades workers
7549,Craft and related workers not elsewhere classified,754,Other craft and related workers,75,Veterinary activities,M,"Professional, scientific and technical activities"
8343,"Crane, hoist and related plant operators",834,Mobile plant operators,83,Drivers and mobile plant operators,8,"Plant and machine operators, and assemblers"
7513,Dairy-products makers,751,Food processing and related trades workers,75,"Food processing, wood working, garment and other craft and related trades workers",7,Craft and related trades workers
7513,Dairy-products makers,751,Food processing and related trades workers,75,Veterinary activities,M,"Professional, scientific and technical activities"
3251,Dental assistants and therapists,325,Other health associate professionals,32,Other manufacturing,C,Manufacturing
3251,Dental assistants and therapists,325,Other health associate professionals,32,Health associate professionals,3,Equipment
3251,Dental assistants and therapists,325,Other health associate professionals,32,Health associate professionals,3,Technicians and associate professionals
3251,Dental assistants and therapists,325,Other health associate professionals,32,Lifting and handling equipment,3,Equipment
3251,Dental assistants and therapists,325,Other health associate professionals,32,Lifting and handling equipment,3,Technicians and associate professionals
3251,Dental assistants and therapists,325,Manufacture of medical and dental instruments and supplies,32,Other manufacturing,C,Manufacturing
3251,Dental assistants and therapists,325,Manufacture of medical and dental instruments and supplies,32,Health associate professionals,3,Equipment
3251,Dental assistants and therapists,325,Manufacture of medical and dental instruments and supplies,32,Health associate professionals,3,Technicians and associate professionals
3251,Dental assistants and therapists,325,Manufacture of medical and dental instruments and supplies,32,Lifting and handling equipment,3,Equipment
3251,Dental assistants and therapists,325,Manufacture of medical and dental instruments and supplies,32,Lifting and handling equipment,3,Technicians and associate professionals
3254,Dispensing opticians,325,Other health associate professionals,32,Other manufacturing,C,Manufacturing
3254,Dispensing opticians,325,Other health associate professionals,32,Health associate professionals,3,Equipment
3254,Dispensing opticians,325,Other health associate professionals,32,Health associate professionals,3,Technicians and associate professionals
3254,Dispensing opticians,325,Other health associate professionals,32,Lifting and handling equipment,3,Equipment
3254,Dispensing opticians,325,Other health associate professionals,32,Lifting and handling equipment,3,Technicians and associate professionals
3254,Dispensing opticians,325,Manufacture of medical and dental instruments and supplies,32,Other manufacturing,C,Manufacturing
3254,Dispensing opticians,325,Manufacture of medical and dental instruments and supplies,32,Health associate professionals,3,Equipment
3254,Dispensing opticians,325,Manufacture of medical and dental instruments and supplies,32,Health associate professionals,3,Technicians and associate professionals
3254,Dispensing opticians,325,Manufacture of medical and dental instruments and supplies,32,Lifting and handling equipment,3,Equipment
3254,Dispensing opticians,325,Manufacture of medical and dental instruments and supplies,32,Lifting and handling equipment,3,Technicians and associate professionals
2631,Economists,263,Social and religious professionals,26,"Legal, social and cultural professionals",2,Machines
2631,Economists,263,Social and religious professionals,26,"Legal, social and cultural professionals",2,Professionals
2631,Economists,263,Social and religious professionals,26,"Manufacture of computer, electronic and optical products",C,Manufacturing
2631,Economists,263,Manufacture of communication equipment,26,"Legal, social and cultural professionals",2,Machines
2631,Economists,263,Manufacture of communication equipment,26,"Legal, social and cultural professionals",2,Professionals
2631,Economists,263,Manufacture of communication equipment,26,"Manufacture of computer, electronic and optical products",C,Manufacturing
2351,Education methods specialists,235,Other teaching professionals,23,Manufacture of other non-metallic mineral products,C,Manufacturing
2351,Education methods specialists,235,Other teaching professionals,23,Teaching professionals,2,Machines
2351,Education methods specialists,235,Other teaching professionals,23,Teaching professionals,2,Professionals
2351,Education methods specialists,235,Other teaching professionals,23,Vehicles used for …,2,Machines
2351,Education methods specialists,235,Other teaching professionals,23,Vehicles used for …,2,Professionals
3113,Electrical engineering technicians,311,Physical and engineering science technicians,31,Manufacture of furniture,C,Manufacturing
3113,Electrical engineering technicians,311,Physical and engineering science technicians,31,Equipment for working at heights,3,Equipment
3113,Electrical engineering technicians,311,Physical and engineering science technicians,31,Equipment for working at heights,3,Technicians and associate professionals
3113,Electrical engineering technicians,311,Physical and engineering science technicians,31,Science and engineering associate professionals,3,Equipment
3113,Electrical engineering technicians,311,Physical and engineering science technicians,31,Science and engineering associate professionals,3,Technicians and associate professionals
2151,Electrical engineers,215,Electro technology engineers,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,C,Manufacturing
2151,Electrical engineers,215,Electro technology engineers,21,"Ovens, furnaces, furnace burners",2,Machines
2151,Electrical engineers,215,Electro technology engineers,21,"Ovens, furnaces, furnace burners",2,Professionals
2151,Electrical engineers,215,Electro technology engineers,21,Science and engineering professionals,2,Machines
2151,Electrical engineers,215,Electro technology engineers,21,Science and engineering professionals,2,Professionals
7413,Electrical line installers and repairers,741,Electrical equipment installers and repairers,74,Electrical and electronic trades workers,7,Craft and related trades workers
7413,Electrical line installers and repairers,741,Electrical equipment installers and repairers,74,"Other professional, scientific and technical activities",M,"Professional, scientific and technical activities"
7413,Electrical line installers and repairers,741,Specialized design activities,74,Electrical and electronic trades workers,7,Craft and related trades workers
7413,Electrical line installers and repairers,741,Specialized design activities,74,"Other professional, scientific and technical activities",M,"Professional, scientific and technical activities"
7421,Electronics mechanics and servicers,742,Photographic activities,74,Electrical and electronic trades workers,7,Craft and related trades workers
7421,Electronics mechanics and servicers,742,Photographic activities,74,"Other professional, scientific and technical activities",M,"Professional, scientific and technical activities"
7421,Electronics mechanics and servicers,742,Electronics and telecommunications installers and repairers,74,Electrical and electronic trades workers,7,Craft and related trades workers
7421,Electronics mechanics and servicers,742,Electronics and telecommunications installers and repairers,74,"Other professional, scientific and technical activities",M,"Professional, scientific and technical activities"
4225,Enquiry clerks,422,Construction ofutility projects,42,Customer services clerks,4,Clerical support workers
4225,Enquiry clerks,422,Construction ofutility projects,42,Civil engineering,F,Construction
4225,Enquiry clerks,422,Client information workers,42,Customer services clerks,4,Clerical support workers
4225,Enquiry clerks,422,Client information workers,42,Civil engineering,F,Construction
2143,Environmental engineers,214,Engineering professionals (excluding electro technology),21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,C,Manufacturing
2143,Environmental engineers,214,Engineering professionals (excluding electro technology),21,"Ovens, furnaces, furnace burners",2,Machines
2143,Environmental engineers,214,Engineering professionals (excluding electro technology),21,"Ovens, furnaces, furnace burners",2,Professionals
2143,Environmental engineers,214,Engineering professionals (excluding electro technology),21,Science and engineering professionals,2,Machines
2143,Environmental engineers,214,Engineering professionals (excluding electro technology),21,Science and engineering professionals,2,Professionals
2132,"Farming, forestry and fisheries advisers",213,Life science professionals,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,C,Manufacturing
2132,"Farming, forestry and fisheries advisers",213,Life science professionals,21,"Ovens, furnaces, furnace burners",2,Machines
2132,"Farming, forestry and fisheries advisers",213,Life science professionals,21,"Ovens, furnaces, furnace burners",2,Professionals
2132,"Farming, forestry and fisheries advisers",213,Life science professionals,21,Science and engineering professionals,2,Machines
2132,"Farming, forestry and fisheries advisers",213,Life science professionals,21,Science and engineering professionals,2,Professionals
6111,Field crop and vegetable growers,611,Wired telecommunications activities,61,Market-oriented skilled agricultural workers,6,"Skilled agricultural, forestry and fishery workers"
6111,Field crop and vegetable growers,611,Wired telecommunications activities,61,Telecommunications,J,Information and communication
6111,Field crop and vegetable growers,611,Market gardeners and crop growers,61,Market-oriented skilled agricultural workers,6,"Skilled agricultural, forestry and fishery workers"
6111,Field crop and vegetable growers,611,Market gardeners and crop growers,61,Telecommunications,J,Information and communication
2654,"Film, stage and related directors and producers",265,Creative and performing artists,26,"Legal, social and cultural professionals",2,Machines
2654,"Film, stage and related directors and producers",265,Creative and performing artists,26,"Legal, social and cultural professionals",2,Professionals
2654,"Film, stage and related directors and producers",265,Creative and performing artists,26,"Manufacture of computer, electronic and optical products",C,Manufacturing
2654,"Film, stage and related directors and producers",265,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",26,"Legal, social and cultural professionals",2,Machines
2654,"Film, stage and related directors and producers",265,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",26,"Legal, social and cultural professionals",2,Professionals
2654,"Film, stage and related directors and producers",265,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",26,"Manufacture of computer, electronic and optical products",C,Manufacturing
2413,Financial analysts,241,Manufacture of basic iron and steel,24,Manufacture of basic metals,C,Manufacturing
2413,Financial analysts,241,Manufacture of basic iron and steel,24,Business and administration professionals,2,Machines
2413,Financial analysts,241,Manufacture of basic iron and steel,24,Business and administration professionals,2,Professionals
2413,Financial analysts,241,Finance professionals,24,Manufacture of basic metals,C,Manufacturing
2413,Financial analysts,241,Finance professionals,24,Business and administration professionals,2,Machines
2413,Financial analysts,241,Finance professionals,24,Business and administration professionals,2,Professionals
1346,Financial and insurance services branch managers,134,Professional services managers,13,Manufacture of textiles,C,Manufacturing
1346,Financial and insurance services branch managers,134,Professional services managers,13,Production and specialised services managers,1,Managers
1346,Financial and insurance services branch managers,134,Professional services managers,13,Production and specialised services managers,1,Tools
7515,Food and beverage tasters and graders,751,Food processing and related trades workers,75,"Food processing, wood working, garment and other craft and related trades workers",7,Craft and related trades workers
7515,Food and beverage tasters and graders,751,Food processing and related trades workers,75,Veterinary activities,M,"Professional, scientific and technical activities"
6210,Forestry and related workers,621,Forestry and related workers,62,"Computer programming, consultancy and related activities",J,Information and communication
6210,Forestry and related workers,621,Forestry and related workers,62,"Market-oriented skilled forestry, fishery and hunting workers",6,"Skilled agricultural, forestry and fishery workers"
9215,Forestry labourers,921,"Agricultural, forestry and fishery labourers",92,"Agricultural, forestry and fishery labourers",9,Elementary occupations
9215,Forestry labourers,921,"Agricultural, forestry and fishery labourers",92,Gambling and betting activities,R,"Arts, entertainment and recreation"
3143,Forestry technicians,314,Life science technicians and related associate professionals,31,Manufacture of furniture,C,Manufacturing
3143,Forestry technicians,314,Life science technicians and related associate professionals,31,Equipment for working at heights,3,Equipment
3143,Forestry technicians,314,Life science technicians and related associate professionals,31,Equipment for working at heights,3,Technicians and associate professionals
3143,Forestry technicians,314,Life science technicians and related associate professionals,31,Science and engineering associate professionals,3,Equipment
3143,Forestry technicians,314,Life science technicians and related associate professionals,31,Science and engineering associate professionals,3,Technicians and associate professionals
9333,Freight handlers,933,Transport and storage labourers,93,Sports activities and amusement  and recreation activities,R,"Arts, entertainment and recreation"
9333,Freight handlers,933,Transport and storage labourers,93,"Labourers in mining, construction, manufacturing and transport",9,Elementary occupations
8155,Fur and leather preparing machine operators,815,"Textile, fur and leather products machine operators",81,Services to buildings and landscape activities,N,Administrative and support service activities
